#            1 - s            2 - Rx            3 - Ry            4 - Rz            5 - Px            6 - Py            7 - Pz           8 - Efx           9 - Efy          10 - Efz          11 - Bfx          12 - Bfy          13 - Bfz         14 - Ekin            15 - t
        0.17624677                 0                 0        0.17624677                 0                 0         2.2565228                 0                 0     -0.0039917153                 0                 0       0.019596958        0.75023665           0.70025	SOL1, GUN, COL, 
        0.17898762                 0                 0        0.17898762                 0                 0         2.2565228                 0                 0     -0.0025418773                 0                 0       0.021036822        0.75023665           0.71025	SOL1, GUN, COL, 
        0.18172846                 0                 0        0.18172846                 0                 0         2.2565228                 0                 0      -0.001619951                 0                 0       0.022562284        0.75023665           0.72025	SOL1, GUN, COL, 
         0.1844693                 0                 0         0.1844693                 0                 0         2.2565228                 0                 0     -0.0010348627                 0                 0       0.024172232        0.75023665           0.73025	SOL1, GUN, COL, 
        0.18721015                 0                 0        0.18721015                 0                 0         2.2565228                 0                 0    -0.00066515104                 0                 0       0.025863823        0.75023665           0.74025	SOL1, GUN, COL, 
        0.18995099                 0                 0        0.18995099                 0                 0         2.2565228                 0                 0    -0.00043390312                 0                 0       0.027632339        0.75023665           0.75025	SOL1, GUN, COL, 
        0.19269183                 0                 0        0.19269183                 0                 0         2.2565228                 0                 0    -0.00029285213                 0                 0       0.029469593        0.75023665           0.76025	SOL1, GUN, COL, 
        0.19543268                 0                 0        0.19543268                 0                 0         2.2565228                 0                 0    -0.00021235983                 0                 0       0.031365786        0.75023665           0.77025	SOL1, GUN, COL, 
        0.19817352                 0                 0        0.19817352                 0                 0         2.2565228                 0                 0    -0.00017533913                 0                 0       0.033307054        0.75023665           0.78025	SOL1, GUN, COL, 
        0.20091436                 0                 0        0.20091436                 0                 0         2.2565228                 0                 0                 0                 0                 0       0.035278082        0.75023665           0.79025	SOL1, COL, 
        0.20365521                 0                 0        0.20365521                 0                 0         2.2565228                 0                 0                 0                 0                 0       0.037259986        0.75023665           0.80025	SOL1, COL, 
        0.20639605                 0                 0        0.20639605                 0                 0         2.2565228                 0                 0                 0                 0                 0       0.039232458        0.75023665           0.81025	SOL1, COL, 
        0.20913689                 0                 0        0.20913689                 0                 0         2.2565228                 0                 0                 0                 0                 0       0.041173872        0.75023665           0.82025	SOL1, COL, 
        0.21187774                 0                 0        0.21187774                 0                 0         2.2565228                 0                 0                 0                 0                 0       0.043061847        0.75023665           0.83025	SOL1, COL, 
